2018-11-19 04:48:40 WARN  RunApplication:49 - The directory 'as'not found! Parsing files in the directory of default path
2018-11-19 04:48:40 INFO  StatisticService:56 - Init statistic with total file size of 78966413bytes
2018-11-19 04:48:40 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\0.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:0, write file length = 400000, user command: 'SPLIT'}
2018-11-19 04:48:40 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\1.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:40 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\2.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:40 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\3.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:1200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:41 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\4.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:1600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:41 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\5.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:2000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:41 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\6.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:2400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:41 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\7.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:2800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:42 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\8.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:3200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:42 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\9.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:3600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:42 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\10.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:4000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:42 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\11.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:4400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:43 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\12.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:4800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:44 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\13.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:5200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:44 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\14.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:5600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:44 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\15.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:6000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:45 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\16.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:6400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:45 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\17.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:6800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:45 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\18.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:7200000, write file length = 400000, user command: 'MERGE'}
